time,industry,city,total
2016-04-01,農、林、漁、牧業,基隆市,16863
2016-04-01,農、林、漁、牧業,連江縣,0
2016-04-01,農、林、漁、牧業,雲林縣,217530
2016-04-01,農、林、漁、牧業,新北市,446101
2016-04-01,農、林、漁、牧業,新竹市,32361
2016-04-01,農、林、漁、牧業,新竹縣,63690
2016-04-01,農、林、漁、牧業,嘉義市,23516
2016-04-01,農、林、漁、牧業,嘉義縣,366609
2016-04-01,農、林、漁、牧業,彰化縣,447202
2016-04-01,農、林、漁、牧業,臺中市,365624
2016-04-01,農、林、漁、牧業,臺北市,1505162
2016-04-01,農、林、漁、牧業,臺東縣,70408
2016-04-01,農、林、漁、牧業,臺南市,921951
2016-04-01,農、林、漁、牧業,澎湖縣,0
2016-04-01,運輸及倉儲業,宜蘭縣,1496129
2016-04-01,運輸及倉儲業,花蓮縣,863475
2016-04-01,運輸及倉儲業,金門縣,584742
2016-04-01,運輸及倉儲業,南投縣,731861
2016-04-01,運輸及倉儲業,屏東縣,673511
2016-04-01,運輸及倉儲業,苗栗縣,935659
2016-04-01,運輸及倉儲業,桃園市,28914043
2016-04-01,運輸及倉儲業,高雄市,21097296
2016-04-01,運輸及倉儲業,基隆市,6183613
2016-04-01,運輸及倉儲業,連江縣,133678
2016-04-01,運輸及倉儲業,雲林縣,1970976
2016-04-01,運輸及倉儲業,新北市,17827233
2016-04-01,運輸及倉儲業,新竹市,1101889
2016-04-01,運輸及倉儲業,新竹縣,1550387
2016-04-01,運輸及倉儲業,嘉義市,806833
2016-04-01,運輸及倉儲業,嘉義縣,1773853
2016-04-01,運輸及倉儲業,彰化縣,2265050
2016-04-01,運輸及倉儲業,臺中市,9993004
2016-04-01,運輸及倉儲業,臺北市,82216327
2016-04-01,運輸及倉儲業,臺東縣,511310
2016-04-01,運輸及倉儲業,臺南市,4139138
2016-04-01,運輸及倉儲業,澎湖縣,442791
2016-04-01,製造業,宜蘭縣,15793177
2016-04-01,製造業,花蓮縣,3154940
